Year ,Serious Incidents ,significant incidents,Fatalities ,Injuries ,Property Damage   ,Avg Prop Damage/ incident,Fat_per_serious incident
1988,7,31,2,9,6707494,216370.7742,0.064516129
1989,12,29,4,15,16303907,562203.6897,0.137931034
1990,11,36,0,15,13519562,375543.3889,0
1991,7,27,0,11,15325472,450749.1765,0
1992,10,32,3,14,14200308,338102.5714,0.09375
1993,10,43,1,16,24023005,453264.2453,0.023255814
1994,9,34,0,15,58794113,1367304.953,0
1995,7,22,0,7,9128415,314772.931,0
1996,6,34,1,5,13896925,347423.125,0.029411765
1997,4,26,1,5,12218264,407275.4667,0.038461538
1998,11,40,1,11,44321198,869043.098,0.025
1999,5,34,2,8,21382406,548266.8205,0.058823529
2000,7,45,15,16,18652836,358708.3846,0.333333333
2001,4,45,2,5,14325601,292359.2041,0.044444444
2002,4,40,1,4,19466198,442413.5909,0.025
2003,8,61,1,8,51328261,743887.8406,0.016393443
2004,2,43,0,2,9238458,205299.0667,0
2005,5,63,0,5,213404264,3138298,0
2006,6,59,3,4,29124687,448072.1077,0.050847458
2007,8,55,2,7,38340429,608578.2381,0.036363636
2008,5,47,0,5,114210073,2196347.558,0
2009,6,60,0,11,43532346,659581,0
2010,6,55,10,61,416385016,6825983.869,0.181818182
2011,1,69,0,1,85606772,1222953.886,0
2012,3,47,0,7,43044768,860895.36,0
2013,1,60,0,2,42176862,691423.9672,0
2014,2,66,1,1,43673647,642259.5147,0.015151515
