SIGNIFICANT,SERIOUS,Year,Fatalities,Injuries,Explode,Ignite,CLASS,Dia,wall,SMYS,TOTAL_COST_IN84,TOTAL_COST_CURRENT,MAOP,SEAM,cause,subcause,coat,PIR,HCA,BA,CoF
NO,NO,2006,0,0,NO,NO,2,1,0.14,24000,32011.09887,63936.30005,450,SMLS,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,14.63711037,NO,After,63936.30005
NO,NO,2006,0,0,NO,NO,1,NA,NA,NA,32175.20416,64910.38286,710,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,NA,NO,After,64910.38286
YES,NO,2006,0,0,NO,NO,1,NA,NA,NA,67679.41928,63567.25203,858,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,NA,NO,After,63567.25203
YES,YES,2006,0,1,NO,NO,3,NA,NA,NA,0,0,400,NA,INCORRECT OPERATION,INCORRECT OPERATION,NA,NA,YES,After,3210000
NO,NO,2006,0,0,NO,NO,3,NA,NA,NA,11124.06432,11015.82844,1000,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,NA,NO,After,11015.82844
YES,NO,2006,0,0,NO,NO,1,16,0.24,NA,94071.10746,164042.9462,1264,ERW,CORROSION,INTERNAL,COATED,392.5026655,NO,After,164042.9462
NO,NO,2006,0,0,NO,NO,1,26,0.28,1124,33206.70014,59571.9097,809,DSAW,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,NA,510.26608,NO,After,59571.9097
NO,NO,2006,0,0,NO,NO,1,10,0.3,NA,35562.81548,44675.0669,285,NA,NATURAL FORCE DAMAGE,EARTH MOVEMENT,NA,116.4854068,NO,After,44675.0669
NO,NO,2006,0,0,NO,NO,1,24,0.25,70000,28017.0151,26314.71545,1050,ERW,CORROSION,EXTERNAL,COATED,536.6053298,NO,After,26314.71545
YES,NO,2006,0,0,NO,NO,2,24,0.38,40000,183507.5494,172357.7236,750,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,453.5142776,YES,After,172357.7236
NO,NO,2006,0,0,NO,NO,1,3,0.16,35000,33425.27594,65453.77132,800,SEAMLESS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,58.54844148,NO,After,65453.77132
YES,NO,2006,0,0,NO,YES,1,NA,NA,NA,235240.1607,473238.9264,1050,NA,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,NA,NA,NO,After,473238.9264
NO,NO,2006,0,0,NO,NO,1,NA,NA,NA,34381.69688,58982.00527,170,NA,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,NA,NA,NO,After,58982.00527
YES,NO,2006,0,0,NO,NO,1,36,0.34,60000,117195.2978,134042.2956,800,FLASH WELD,CORROSION,EXTERNAL,COATED,702.5812978,NO,After,134042.2956
YES,YES,2006,0,1,YES,NO,1,18,0.38,35000,576984.5973,1154365.744,204,LAP WELD,ALL OTHER CAUSES,UNKNOWN,NA,177.3930822,NO,After,4364365.744
YES,NO,2006,0,0,NO,NO,1,NA,NA,NA,79595.02323,74758.86992,973,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,NA,NO,After,74758.86992
YES,NO,2006,0,0,NO,YES,2,24,0.25,50000,484514.824,841439.4547,750,NA,CORROSION,EXTERNAL,COATED,453.5142776,NO,After,841439.4547
NO,NO,2006,0,0,NO,NO,3,12,0.25,NA,40319.08564,78866.7422,1020,NA,CORROSION,EXTERNAL,COATED,264.4419936,YES,After,78866.7422
YES,NO,2007,0,0,NO,NO,3,18,0.25,35000,83720.20555,106268.8607,475,SEAMLESS,MATERIAL/WELD/EQUIP FAILURE,BODY OF PIPE,NA,270.6876244,YES,After,106268.8607
NO,NO,2007,0,0,NO,NO,2,20,0.34,52000,41608.05118,77155.47932,716,NA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,369.2628332,NO,After,77155.47932
NO,NO,2007,0,0,NO,NO,1,4,0.16,42000,23374.33041,44838.72904,1636,SEAMLESS,OTHER OUTSIDE FORCE DAMAGE,PREVIOUS MECHANICAL DAMAGE,NA,111.6350913,NO,After,44838.72904
YES,NO,2007,0,0,NO,NO,1,NA,NA,NA,51795.34314,48648.28431,840,NA,MATERIAL/WELD/EQUIP FAILURE,"THREADS STRIPPED, BROKEN PIPE COUPLING",NA,NA,NO,After,48648.28431
YES,NO,2007,0,0,NO,NO,1,16,0.25,52000,775418.5885,912540.8973,720,ERW,CORROSION,INTERNAL,COATED,296.2342857,NO,After,912540.8973
YES,NO,2007,0,0,NO,NO,1,24,0.47,65000,387950.0449,431931.7249,1200,NA,CORROSION,INTERNAL,COATED,573.6552275,NO,After,431931.7249
YES,NO,2007,0,0,NO,YES,1,30,0.31,60000,298237.5424,427505.86,900,EFW,CORROSION,EXTERNAL,COATED,621,NO,After,427505.86
NO,NO,2007,0,0,NO,NO,3,16,0.31,60000,47527.88863,66134.35898,960,NA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,342.0618891,NO,After,66134.35898
YES,YES,2007,1,0,YES,NO,1,30,0.38,52000,1717541.676,3360359.43,935,DSAW,CORROSION,EXTERNAL,COATED,632.9598328,NO,After,13360359.43
NO,NO,2006,0,0,NO,NO,3,36,0.38,42000,33166.96155,63003.5984,300,ELECTRIC RESISTANCE WELD,MATERIAL/WELD/EQUIP FAILURE,BODY OF PIPE,NA,430.2414206,YES,After,63003.5984
YES,NO,2006,0,0,NO,YES,3,2,0.05,38,264775.2418,532515.9507,350,ERW,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,NA,25.81743597,YES,After,532515.9507
YES,NO,2006,0,0,NO,YES,1,NA,NA,NA,6181197.593,12428291.92,1500,NA,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,NA,NA,NO,After,12428291.92
NO,NO,2006,0,0,NO,NO,1,8.63,0.28,30000,12820.1924,16767.30086,1110,ERW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,198.3907302,NO,After,16767.30086
YES,NO,2006,0,0,NO,NO,3,12,0.22,1443,184676.4911,362674.52,756,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,227.6623605,NO,After,362674.52
NO,NO,2006,0,0,NO,NO,1,0.25,0.08,35000,23026.19423,21721.74376,3000,SEAMLESS,MATERIAL/WELD/EQUIP FAILURE,"THREADS STRIPPED, BROKEN PIPE COUPLING",NA,9.448214117,NO,After,21721.74376
NO,NO,2006,0,0,NO,NO,1,8.63,0.24,24000,29471.22053,46602.452,430,FURNACE LAP WELD,CORROSION,EXTERNAL,COATED,123.4792873,NO,After,46602.452
YES,NO,2006,0,0,NO,NO,1,24,0.25,70000,62994.25887,90158.91979,1050,ERW,MATERIAL/WELD/EQUIP FAILURE,BODY OF PIPE,NA,536.6053298,NO,After,90158.91979
NO,NO,2005,0,0,NO,NO,NA,12,0.25,21,38622.62366,55813.21699,340,NA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,152.6756562,NO,After,55813.21699
YES,NO,2006,0,0,NO,NO,1,16,0.25,52000,87750.55679,177028.3169,811,ERW,MATERIAL/WELD/EQUIP FAILURE,BODY OF PIPE,NA,314.3978015,NO,After,177028.3169
YES,NO,2006,0,0,NO,NO,1,26,0.28,52000,114476.0456,221051.8665,790,NA,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,NA,504.2384793,NO,After,221051.8665
NO,NO,2006,0,0,NO,YES,3,1,0.18,35000,8424.053452,16994.71842,787,SEAMLESS,NATURAL FORCE DAMAGE,LIGHTNING,NA,19.35692899,NO,After,16994.71842
YES,YES,2006,0,1,NO,YES,2,26,0.28,52000,26646.11823,32091.28506,790,NA,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,504.2384793,NO,After,3242091.285
NO,NO,2006,0,0,NO,NO,1,1,NA,NA,0,0,920,NA,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,20.92873623,NO,After,0
YES,NO,2006,0,0,NO,NO,3,NA,NA,NA,58948.48404,118922.9025,1000,NA,INCORRECT OPERATION,INCORRECT OPERATION,NA,NA,NO,After,118922.9025
YES,NO,2006,0,0,NO,NO,1,36,0.33,65000,54788.13287,97817.85902,858,DSAW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,727.6042639,NO,After,97817.85902
NO,NO,2006,0,0,NO,NO,2,2,0.22,42000,27104.19334,46271.43297,796,SMLS,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,NA,38.9345913,NO,After,46271.43297
YES,NO,2006,0,0,NO,NO,1,16,0.23,46000,309912.1354,511837.3898,910,ERW,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,NA,333.0349171,NO,After,511837.3898
YES,NO,2006,0,0,NO,NO,1,24,0.28,52000,188884.5402,258141.3995,877,DSAW,CORROSION,EXTERNAL,COATED,490.4109167,NO,After,258141.3995
YES,NO,2006,0,0,NO,NO,1,2,0.22,35000,111249.6554,128081.9925,712,SMLS,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,NA,36.82299282,NO,After,128081.9925
NO,NO,2006,0,0,YES,NO,1,12.75,0.32,NA,26300.61383,39209.38257,975,ERW,CORROSION,EXTERNAL,COATED,274.7018495,NO,After,39209.38257
NO,NO,2006,0,0,NO,NO,3,20,0.28,42000,44481.89938,78361.5183,7108,SEAMLESS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,1163.463588,NO,After,78361.5183
NO,NO,2006,0,0,NO,NO,1,NA,NA,NA,35621.56794,33457.21951,894,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,NA,NO,After,33457.21951
NO,NO,2006,0,0,NO,NO,1,NA,NA,NA,0,0,320,NA,INCORRECT OPERATION,INCORRECT OPERATION,NA,NA,NO,After,0
YES,NO,2006,0,0,NO,NO,2,2,NA,NA,61402.74694,59813.90483,800,NA,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,NA,39.03229432,NO,After,59813.90483
YES,NO,2006,0,0,NO,NO,3,16,0.25,35000,171757.9267,337926.2891,400,NA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,220.8,YES,After,337926.2891
NO,NO,2006,0,0,NO,NO,2,12.75,0.25,42000,32489.18574,43129.7512,250,SEAMLESS,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,139.1006886,NO,After,43129.7512
NO,NO,2006,0,0,NO,NO,1,16,0.22,42000,29895.66439,37855.52771,466,ERW,OTHER OUTSIDE FORCE DAMAGE,INTENTIONAL DAMAGE,NA,238.3208459,NO,After,37855.52771
NO,NO,2006,0,0,NO,NO,1,4.5,0.24,35000,39194.62487,65826.74076,680,ERW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,80.96849387,NO,After,65826.74076
YES,NO,2006,0,0,NO,NO,1,30,0.38,52000,109083.8423,103086.6928,935,SAW,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,NA,632.9598328,NO,After,103086.6928
